12-10 17:35:42.900  7873  7873 D LifecycleMonitor: Lifecycle status change: com.example.lunchtray.MainActivity@24131e8 in: PRE_ON_CREATE
12-10 17:35:42.901  7873  7873 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was DESTROYED
12-10 17:35:42.901  7873  7873 I chatty  : uid=10159(com.example.lunchtray) identical 2 lines
12-10 17:35:42.901  7873  7873 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was DESTROYED
12-10 17:35:42.901  7873  7873 V ActivityScenario: Activity lifecycle changed event received but ignored because the reported transition was not ON_CREATE while the last known transition was PRE_ON_CREATE
12-10 17:35:42.923  7873  7873 D LifecycleMonitor: Lifecycle status change: com.example.lunchtray.MainActivity@24131e8 in: CREATED
12-10 17:35:42.923  7873  7873 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=com.example.lunchtray.MainActivity@24131e8
12-10 17:35:42.924  7873  7873 I chatty  : uid=10159(com.example.lunchtray) identical 3 lines
12-10 17:35:42.924  7873  7873 V ActivityScenario: Update currentActivityStage to CREATED, currentActivity=com.example.lunchtray.MainActivity@24131e8
12-10 17:35:42.932  7873  7873 D LifecycleMonitor: Lifecycle status change: com.example.lunchtray.MainActivity@24131e8 in: STARTED
12-10 17:35:42.932  7873  7873 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=com.example.lunchtray.MainActivity@24131e8
12-10 17:35:42.933  7873  7873 I chatty  : uid=10159(com.example.lunchtray) identical 3 lines
12-10 17:35:42.933  7873  7873 V ActivityScenario: Update currentActivityStage to STARTED, currentActivity=com.example.lunchtray.MainActivity@24131e8
12-10 17:35:42.934  7873  7873 D LifecycleMonitor: Lifecycle status change: com.example.lunchtray.MainActivity@24131e8 in: RESUMED
12-10 17:35:42.934  7873  7873 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=com.example.lunchtray.MainActivity@24131e8
12-10 17:35:42.934  7873  7873 I chatty  : uid=10159(com.example.lunchtray) identical 3 lines
12-10 17:35:42.934  7873  7873 V ActivityScenario: Update currentActivityStage to RESUMED, currentActivity=com.example.lunchtray.MainActivity@24131e8
12-10 17:35:42.957   305   350 D goldfish-address-space: claimShared: Ask to claim region [0x3f64b4000 0x3f6c9d000]
12-10 17:35:42.963   305   350 D goldfish-address-space: claimShared: Ask to claim region [0x3f54e2000 0x3f5ccb000]
12-10 17:35:42.964   305   350 D goldfish-address-space: claimShared: Ask to claim region [0x3f8000000 0x3f87e9000]
12-10 17:35:42.975   524   549 D ArtManagerInternalImpl: /data/misc/iorapd/com.example.lunchtray/1/com.example.lunchtray.MainActivity/compiled_traces/compiled_trace.pb doesn't exist
12-10 17:35:42.975   524   544 D EventSequenceValidator: dec AccIntentStartedEvents to 1
12-10 17:35:42.979   524   549 I ActivityTaskManager: Displayed com.example.lunchtray/.MainActivity: +131ms
12-10 17:35:42.980  7873  7873 D RootViewPicker: Root not ready - waiting: 10ms for one to appear.
12-10 17:35:42.989  7873  7873 D LifecycleMonitor: Lifecycle status change: androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@4be63ce in: STOPPED
12-10 17:35:42.989  7873  7873 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.lunchtray/.MainActivity }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.lunchtray/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@4be63ce
12-10 17:35:42.989  7873  7873 I chatty  : uid=10159(com.example.lunchtray) identical 3 lines
12-10 17:35:42.989  7873  7873 V ActivityScenario: Activity lifecycle changed event received but ignored because the intent does not match. startActivityIntent=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] cmp=com.example.lunchtray/.MainActivity }, activity.getIntent()=Intent { act=android.intent.action.MAIN cat=[android.intent.category.LAUNCHER] flg=0x10008000 cmp=com.example.lunchtray/androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity (has extras) }, activity=androidx.test.core.app.InstrumentationActivityInvoker$BootstrapActivity@4be63ce
12-10 17:35:42.993  1278  1278 I GoogleInputMethodService: GoogleInputMethodService.onFinishInput():3220
12-10 17:35:42.994  1278  1278 I GoogleInputMethodService: GoogleInputMethodService.updateDeviceLockedStatus():2085 repeatCheckTimes = 0, unlocked = true
12-10 17:35:42.994  1278  1278 I GoogleInputMethodService: GoogleInputMethodService.onStartInput():1876 onStartInput(EditorInfo{inputType=0x0(NULL) imeOptions=0x0 privateImeOptions=null actionName=UNSPECIFIED actionLabel=null actionId=0 initialSelStart=-1 initialSelEnd=-1 initialCapsMode=0x0 hintText=null label=null packageName=com.example.lunchtray fieldId=-1 fieldName=null extras=null}, false)
12-10 17:35:42.994  1278  1278 I GoogleInputMethodService: GoogleInputMethodService.shouldHideHeaderOnInitialState():3985 ShouldHideHeaderOnInitialState = false
12-10 17:35:42.994  1278  1278 I GoogleInputMethodService: GoogleInputMethodService.updateDeviceLockedStatus():2085 repeatCheckTimes = 2, unlocked = true
12-10 17:35:42.996  1563  1755 W SearchServiceCore: Abort, client detached.
12-10 17:35:42.997  1563  2317 I PBSessionCacheImpl: (REDACTED) Deleted sessionId[%d] from persistence.
12-10 17:35:43.015  7873  7873 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231208/com.example.lunchtray:id/start_order_btn>
12-10 17:35:43.062   524  2459 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:43.195   524   538 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:43.327  7873  7873 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131230844/com.example.lunchtray:id/cauliflower>
12-10 17:35:43.394   524   538 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:43.527   524   538 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:43.634  7873  7873 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231081/com.example.lunchtray:id/next_button>
12-10 17:35:43.685   524   538 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:43.815   524   538 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:43.936  7873  7873 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231138/com.example.lunchtray:id/salad>
12-10 17:35:43.991   524   538 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:44.124   524   538 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:44.232  7873  7873 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231081/com.example.lunchtray:id/next_button>
12-10 17:35:44.285   524  2459 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:44.413   524   538 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:44.532  7873  7873 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131230835/com.example.lunchtray:id/bread>
12-10 17:35:44.589   524   538 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:44.722   524   538 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:44.833  7873  7873 I ViewInteraction: Performing 'single click' action on view view.getId() is <2131231081/com.example.lunchtray:id/next_button>
12-10 17:35:44.884   524  1173 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:45.011   524   538 I system_server: oneway function results will be dropped but finished with status OK and parcel size 4
12-10 17:35:45.133  7873  7873 I ViewInteraction: Checking 'MatchesViewAssertion{viewMatcher=an instance of android.widget.TextView and view.getText() with or without transformation to match: a string containing "Subtotal: $10.00"}' assertion on view view.getId() is <2131231217/com.example.lunchtray:id/subtotal>
12-10 17:35:45.134  7873  7873 I ViewInteraction: Checking 'MatchesViewAssertion{viewMatcher=an instance of android.widget.TextView and view.getText() with or without transformation to match: a string containing "Tax: $0.80"}' assertion on view view.getId() is <2131231233/com.example.lunchtray:id/tax>
12-10 17:35:45.135  7873  7873 I ViewInteraction: Checking 'MatchesViewAssertion{viewMatcher=an instance of android.widget.TextView and view.getText() with or without transformation to match: a string containing "Total: $10.80"}' assertion on view view.getId() is <2131231262/com.example.lunchtray:id/total>
12-10 17:35:45.135  7873  7895 I TestRunner: finished: subtotal_tax_total_in_checkout(com.example.lunchtray.OrderFunctionalityTests)
